bin,sku,Msku,Asin,External id 1,External id 2,External id 3,title,Sellable,Unsellable - Total,Unsellable - Vendor Damage,Unsellable - Carrier Damage,Unsellable - Warehouse Damage,Unsellable - Defective,Unsellable - Shipper Damage,Unsellable - Customer Return Damage,Unsellable - Expired,Reserved,Customer returns,Pending Cancelled,Actual expiration,Amazon expiration
A100,X0027554D7,1ltr Conditioner (Pack-4),B0DQPSV2JC,,,,"Clayherbs 1LTR Refill Pouch, Hair Conditioner, Nourishes, Hair Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (Pack-4)",29,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002752XVD,1ltr Conditioner (Pack-5),B0DQPQGGFG,,,,"Clayherbs 1LTR Refill Pouch, Hair Conditioner, Nourishes, Hair Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (Pack-5)",28,0,0,0,0,0,0,0,0,0,0,0,,
A100,X00273ZVB9,"1ltr (1 Hand Wash, 2 Dishwash)",B0DQL58LMR,,,,"Clayherbs 1LTR Refill Pouch, Hand Wash and Dish Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Bottle Refiller (Pack-1 Hand Wash, Po-2 Dish Wash.)",30,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002748OJ9,"1ltr (2 Hansd Wash, 1 Dishwash)",B0DQL2TRY6,,,,"Clayherbs 1LTR Refill Pouch, Hand Wash and Dish Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Bottle Refiller (Pack-2 Hand Wash, Po-1 Dish Wash.)",30,0,0,0,0,0,0,0,0,0,0,0,,
A100,X0027521Y7,Po-3 (1ltr Hand Wash),B0DQPHTNDD,,,,"Clayherbs 1LTR Refill Pouch, Hand Wash, Skincare HandWash, Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (3, Pack)",27,0,0,0,0,0,0,0,0,0,0,0,,
A100,X0027521YH,Po-4 (1ltr Hand Wash),B0DQPK34MR,,,,"Clayherbs 1LTR Refill Pouch, Hand Wash, Skincare HandWash, Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (4, Pack)",30,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002751QYD,Po-5 (1ltr Hand Wash),B0DQPM13P1,,,,"Clayherbs 1LTR Refill Pouch, Hand Wash, Skincare HandWash, Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (5, Pack)",29,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002748OIZ,1 ltr SHMP-SHWR GEL-CONDI,B0DQL1SYL5,,,,"Clayherbs 1LTR Refill Pouch, Shampoo - Bath Gel - Hair Conditioner Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Bottle Refiller",12,0,0,0,0,0,0,0,0,0,0,0,,
A100,X0027485QL,1ltr SMP-SWG-MOSTRER.,B0DQLFVWKB,,,,"Clayherbs 1LTR Refill Pouch, Shampoo - Bath Gel - Moisturizer Lotion Cream Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Bottle Refiller",26,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002747G5R,SHMP-SHWRGEL-CONDI-LOTION,B0DQLC3BX6,,,,"Clayherbs 1LTR Refill Pouch, Shampoo - Conditioner - Bath Gel - Moisturizer Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Bottle Refiller (Each 1 Pouch)",19,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002752CIR,1ltr Pack-3 Shampoo,B0DQP2DJWY,,,,"Clayherbs 1LTR Refill Pouch, Shampoo, Hair Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (Pack-3)",16,0,0,0,0,0,0,0,0,0,0,0,,
A100,X0027521XX,1ltr Pack-4 Shampoo,B0DQP796TT,,,,"Clayherbs 1LTR Refill Pouch, Shampoo, Hair Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (Pack-4)",30,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002750PYP,1ltr Pack-5 Shampoo,B0DQP3KXVZ,,,,"Clayherbs 1LTR Refill Pouch, Shampoo, Hair Wash Premium Toiletries, Luxury Hotel Rooms, Hospital, Guest House - Amenities Dispenser Bottle Refiller (Pack-5)",26,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002F54XPJ,20g BathSalt Pack-10,B0FTV9Y4X8,,,,"Clayherbs 20g (Pack-10) French Lavender Bath Salt | Aromatherapy for Stress Relief & Relaxation | Soothing Muscle Soak, luxury amenity Epsom Salt (or Sea Salt) Crystals | Travel/Trial Size",26,0,0,0,0,0,0,0,0,0,0,0,,
A100,X002F4V1M3,20g BathSalt Pack-50,B0FTV9487Z,,,,"Clayherbs 20g French Lavender Bath Salt | Aromatherapy for Stress Relief & Relaxation | Soothing Muscle Soak, luxury amenity Epsom Salt (or Sea Salt) Crystals | Travel/Trial Size (50)",30,0,0,0,0,0,0,0,0,0,0,0,,
A200,X0021AMEVN,Body Wash 20ml (Po-100),B0D22PBPQH,,,,Clayherbs 20ml Bottel | Pack Of (100) Bulk Body Wash | Shower Gel | Liquid Soap | Mini Travel Kit | Hotel Toiletries Kit | Hotel Kit | Guest Room Amenities,40,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X0021AMEVX,Body Wash 20ml (Po-150),B0D22NCQ5M,,,,Clayherbs 20ml Bottel | Pack Of (150) Bulk Body Wash | Shower Gel | Liquid Soap | Mini Travel Kit | Hotel Toiletries Kit | Hotel Kit | Guest Room Amenities,49,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A300,X0021AMET5,Body Lotion 20ml (PO-50),B0D22RNHN6,,,,Clayherbs 20ml Bottel | Pack Of (50) Bulk Body Lotion | Moisturizer | Organic | Mini Travel Kit | Hotel Toiletries Kit | Hotel Kit | Guest Room Amenities,41,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X0021AMEVD,Body Wash 20ml (Po-50),B0D22PD71V,,,,Clayherbs 20ml Bottel | Pack Of (50) Bulk Body Wash | Shower Gel | Liquid Soap | Mini Travel Kit | Hotel Toiletries Kit | Hotel Kit | Guest Room Amenities,48,0,0,0,0,0,0,0,0,0,0,0,31-Dec-2027,01-Dec-2027
A200,X001SNBEE7,clayherbs-20ml-shampoo-100,B0B1JG92GK,,,,Clayherbs 20ml | 100pc Set Bulk Hotel Amenities | Hospitality Toileties | Travel Size Mini Shampoo | Hotel Shampoo | Nourishing | Biodegradable | Supplies for Guests,51,0,0,0,0,0,0,0,0,0,0,0,30-Sep-2026,31-Aug-2026
A100,X001SK9ES3,Clayherbs Aloe Lily Shampoo 100,B0BRFWVQ1H,,,,Clayherbs 22ml | 100pc Bulk Hotel Amenities | Toileties For Hospitality | Travel Size Mini Shampoo | Shampoo | Nourishing | Biodegradable | Supplies for Guests |,14,0,0,0,0,0,0,0,0,0,0,0,,
